time,precipitation_sum (mm)
4/1/2015,0
4/2/2015,0
4/3/2015,0
4/4/2015,0
4/5/2015,0
4/6/2015,0
4/7/2015,0
4/8/2015,0.7
4/9/2015,0
4/10/2015,0.3
4/11/2015,5.2
4/12/2015,7.8
4/13/2015,13.5
4/14/2015,0.6
4/15/2015,2.1
4/16/2015,0
4/17/2015,0
4/18/2015,0
4/19/2015,0
4/20/2015,0
4/21/2015,0
4/22/2015,0
4/23/2015,0
4/24/2015,0
4/25/2015,0
4/26/2015,0
4/27/2015,0
4/28/2015,0
4/29/2015,0
4/30/2015,0
5/1/2015,0
5/2/2015,0
5/3/2015,0
5/4/2015,0
5/5/2015,0.3
5/6/2015,0.3
5/7/2015,0
5/8/2015,0
5/9/2015,0.1
5/10/2015,3.1
5/11/2015,0
5/12/2015,0.3
5/13/2015,0
5/14/2015,0
5/15/2015,0.3
5/16/2015,0
5/17/2015,0
5/18/2015,0
5/19/2015,0
5/20/2015,0
5/21/2015,0
5/22/2015,0
5/23/2015,0
5/24/2015,0
5/25/2015,0
5/26/2015,0
5/27/2015,0
5/28/2015,0
5/29/2015,0
5/30/2015,0
5/31/2015,0
6/1/2015,0
6/2/2015,0
6/3/2015,0
6/4/2015,0
6/5/2015,0
6/6/2015,0
6/7/2015,0
6/8/2015,0.8
6/9/2015,0.3
6/10/2015,12.6
6/11/2015,1.8
6/12/2015,11.6
6/13/2015,12.4
6/14/2015,8.7
6/15/2015,6.7
6/16/2015,0.8
6/17/2015,3.8
6/18/2015,1.2
6/19/2015,7.9
6/20/2015,9.5
6/21/2015,5.9
6/22/2015,11.2
6/23/2015,4
6/24/2015,15.1
6/25/2015,37
6/26/2015,0
6/27/2015,0.2
6/28/2015,0
6/29/2015,4.7
6/30/2015,1.3
7/1/2015,0
7/2/2015,0
7/3/2015,0.2
7/4/2015,0
7/5/2015,0
7/6/2015,0.1
7/7/2015,0.3
7/8/2015,2.7
7/9/2015,6.4
7/10/2015,5.3
7/11/2015,12.2
7/12/2015,0.3
7/13/2015,0.8
7/14/2015,0
7/15/2015,0
7/16/2015,0.5
7/17/2015,4.2
7/18/2015,31.2
7/19/2015,205.9
7/20/2015,50
