system:index,month,sumWater,.geo
2000_01,Jan-00,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02,Feb-00,1536590.984,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03,Mar-00,1533667.451,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04,Apr-00,1524755.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05,May-00,1522755.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06,Jun-00,1102620.49,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07,Jul-00,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08,Aug-00,524720.1843,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09,Sep-00,553950.702,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10,Oct-00,1537067.435,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11,Nov-00,474407.1804,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12,Dec-00,1490132.525,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01,Jan-01,1526790.71,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02,Feb-01,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03,Mar-01,1523639.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_04,Apr-01,577940.6353,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_05,May-01,1516588.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_06,Jun-01,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_07,Jul-01,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_08,Aug-01,5646,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_09,Sep-01,1477655.404,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_10,Oct-01,537360.5961,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_11,Nov-01,1539079.443,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_12,Dec-01,507711.3529,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_01,Jan-02,1495483.039,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_02,Feb-02,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_03,Mar-02,1521736.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_04,Apr-02,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_05,May-02,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_06,Jun-02,1514070.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07,Jul-02,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08,Aug-02,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09,Sep-02,1545384.584,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10,Oct-02,1543594.953,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_11,Nov-02,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_12,Dec-02,1540230.812,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_01,Jan-03,1531245.282,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_02,Feb-03,1532881.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_03,Mar-03,512119.4118,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_04,Apr-03,1526877.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_05,May-03,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_06,Jun-03,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_07,Jul-03,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_08,Aug-03,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_09,Sep-03,770606.4627,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_10,Oct-03,1254808.576,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_11,Nov-03,1514586.616,"{""type"":""MultiPoint"",""coordinates"":[]}"
2003_12,Dec-03,1255863.773,"{""type"":""MultiPoint"",""coordinates"":[]}"
2004_01,Jan-04,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2004_02,Feb-04,1262047.416,"{""type"":""MultiPoint"",""coordinates"":[]}"
2004_03,Mar-04,261598.1451,"{""type"":""MultiPoint"",""coordinates"":[]}"
2004_04,Apr-04,1533994.918,"{""type"":""MultiPoint"",""coordinates"":[]}"
2004_05,May-04,1178337.855,"{""type"":""MultiPoint"",""coordinates"":[]}"
2004_06,Jun-04,1234270.384,"{""type"":""MultiPoint"",""coordinates"":[]}"
2004_07,Jul-04,233970.2314,"{""type"":""MultiPoint"",""coordinates"":[]}"
2004_08,Aug-04,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2004_09,Sep-04,876004.9137,"{""type"":""MultiPoint"",""coordinates"":[]}"
2004_10,Oct-04,1517131.765,"{""type"":""MultiPoint"",""coordinates"":[]}"
2004_11,Nov-04,1261094.506,"{""type"":""MultiPoint"",""coordinates"":[]}"
2004_12,Dec-04,1252836.486,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005_01,Jan-05,1530549.02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005_02,Feb-05,1534168.686,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005_03,Mar-05,1530753.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005_04,Apr-05,1521843.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005_05,May-05,1386472.859,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005_06,Jun-05,1515443.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005_07,Jul-05,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005_08,Aug-05,912277.9922,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005_09,Sep-05,1184463.588,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005_10,Oct-05,1263930.341,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005_11,Nov-05,1540442.886,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005_12,Dec-05,1245382.773,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_01,Jan-06,1267487.761,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_02,Feb-06,1460117.404,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03,Mar-06,363589.5725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_04,Apr-06,141713.6784,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_05,May-06,1517535.725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_06,Jun-06,1346624.51,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_07,Jul-06,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_08,Aug-06,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_09,Sep-06,1117893.937,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_10,Oct-06,1200772.478,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_11,Nov-06,1324183.867,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_12,Dec-06,1540430.933,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_01,Jan-07,1485042.224,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_02,Feb-07,1533887.486,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03,Mar-07,1535981.529,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_04,Apr-07,1461011.58,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_05,May-07,1507637.816,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_06,Jun-07,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_07,Jul-07,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_08,Aug-07,242131.4902,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_09,Sep-07,1015843.29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_10,Oct-07,1297785.251,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_11,Nov-07,1530815.667,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_12,Dec-07,1393142.992,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_01,Jan-08,1200853.91,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_02,Feb-08,1437974.349,"{""type"":""MultiPoint"",""coordinates"":[]}"
